#X0 X1 X2 value type pair_id boundary
22205.6 67075.9 16795.9 5.47793e-07 4 -1 0
19228.6 74580.1 11808.4 3.9925e-08 2 1278 0
2350.08 72576.3 13835.5 8.44554e-08 4 -1 0
15916.3 68393.2 4257.78 8.20597e-07 4 -1 0
14174.8 59408.2 11124.7 1.15888e-08 2 1293 0
16308.8 67133.8 4566.59 3.58711e-07 4 -1 0
15946.2 66130.2 3950.66 7.42887e-08 2 1306 0
33230.6 73182.8 15851.8 0.000153092 3 237 0
23592.9 71032.9 14533.3 1.16362e-08 2 1279 0
22688.4 65953.2 15329.3 7.25592e-07 4 -1 0
1279.96 71129 12654.5 9.89756e-07 4 -1 0
4396.64 70034.9 9175.8 6.5349e-08 2 1301 0
8700.54 63366.4 4004.57 1.98694e-07 4 -1 0
13140.5 64493.7 3225.08 5.94047e-08 2 990 0
15161.9 58172.7 2807.98 5.01086e-08 4 -1 0
23856.7 48025.2 446.428 0.000237577 3 626 0
25075.6 47743.9 132.906 1.34858e-08 2 1352 0
26655.5 48389.2 5881.51 2.90668e-06 4 -1 0
3243.96 50637.8 8481.01 0.000214751 3 614 0
60872 35458.8 12882.8 0.000273842 3 774 0
59154.1 36219.3 14275.2 1.44418e-07 4 -1 0
50812.1 36767.1 17214.4 1.47613e-08 2 1056 0
74646 26533.6 16179 1.76913e-06 4 -1 0
60062.2 36459.7 513.858 1.27369e-07 4 -1 0
61467.4 36798.4 14313.9 1.51028e-08 2 1517 0
55432.2 35468.9 12836.4 1.9008e-08 2 1057 0
58174.6 44175.4 13409.2 0.000114336 3 343 0
68273.9 35105.6 2447.63 1.06905e-05 4 -1 0
74329.9 16837.2 10550.2 0.000407623 3 854 0
70548.8 24851.1 14678.2 1.23028e-06 4 -1 0
45813.8 27900 8090.31 9.38442e-08 4 -1 0
73805.7 26069.5 16249.3 0.000375384 3 431 0
68134.4 54279.1 17147 3.00353e-07 4 -1 0
69121 33664.5 14803.8 5.33348e-08 4 -1 0
58447.4 33366.5 3202.53 4.25603e-07 4 -1 0
58889.7 41164.1 9356 1.53896e-07 2 1405 0
74497.7 27553.8 16035.7 2.69817e-06 4 -1 0
74821.1 28720.1 13332.4 2.32934e-06 4 -1 0
58372.2 43796.2 15521.3 1.64103e-08 2 1493 0
69941.2 36194.4 3146.05 1.68087e-06 4 -1 0
66225.5 34119.1 8923.15 3.04572e-08 2 1525 0
19534.5 14025.2 1221.52 0.00166272 3 165 0
19556.4 13459.3 1156.22 8.47616e-08 2 6 0
13200.7 20962.1 18726.9 1.25737e-08 2 1193 0
16208.7 22813.4 575.102 1.36223e-06 4 -1 0
13923.9 17090 7232.51 5.64695e-08 2 1160 0
19231.8 11918.2 5703.4 9.278e-07 4 -1 0
37761 21052.6 15423 0.000338086 3 841 0
38512.7 21373.5 15213.8 1.06948e-07 4 -1 0
42253.7 30362.9 542.916 7.27443e-07 4 -1 0
35305.5 28867.5 15454.5 5.8683e-09 2 1546 0
40978.3 14732.9 12321.8 9.78725e-09 2 1567 0
24552.7 13103.8 15767 1.54216e-07 4 -1 0
35645.8 20508 13140 4.23432e-08 2 1565 0
32400.6 17562.1 11603.3 1.47066e-08 2 1141 0
37153.9 17636.4 16454.6 1.56371e-08 2 1563 0
44596.1 20947.9 12666.1 1.55123e-07 2 1576 0
40183 23293.2 493.56 0.000319962 3 904 0
29136.9 22401.5 18330.3 0.000104573 3 190 0
42623.2 29132 313.826 4.74229e-06 4 -1 0
44846 25988.2 5056.97 5.79181e-08 2 1656 0
45887.6 16193.3 9749.21 1.61726e-06 4 -1 0
36180.2 20337.1 15432.3 1.23647e-07 4 -1 0
33081.8 26532.8 8648.98 2.83417e-08 4 -1 0
24820.6 12279.5 14383.1 3.09811e-07 4 -1 0
41794.9 22995.5 8639.76 9.44006e-05 3 100 0
41578.6 24053.5 3311.19 4.70206e-07 2 1654 0
40871.9 21663.7 3377.73 3.35787e-08 2 1653 0
24030.3 8472.23 8929.79 6.32201e-06 4 -1 0
52193.6 20678.2 12093.2 2.22187e-06 4 -1 0
